Description,JSON
"A Heap-based buffer overflow vulnerability in SonicWall SMA100 getBookmarks method allows a remote authenticated attacker to potentially execute code as the nobody user in the appliance. This vulnerability affected SMA 200, 210, 400, 410 and 500v appliances.","{""rootcause"": ""unchecked use of strcat"", ""weakness"": ""Heap-based buffer overflow"", ""impact"": ""potentially execute code as the nobody user"", ""vector"": """", ""attacker"": ""remote authenticated attacker"", ""product"": ""SonicWall SMA100"", ""version"": """", ""component"": ""getBookmarks method""}"
"A Stack-based buffer overflow in the SonicOS HTTP Content-Length response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","{""rootcause"": """", ""weakness"": ""Stack-based buffer overflow"", ""impact"": [""unexpected application termination"", ""heap corruption""], ""vector"": """", ""attacker"": ""remote authenticated attacker"", ""product"": ""SonicOS"", ""version"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""component"": ""HTTP Content-Length response header""}"
"A Stack-based buffer overflow in the SonicOS SessionID HTTP response header allows a remote authenticated attacker to cause Denial of Service (DoS) and potentially results in code execution in the firewall. This vulnerability affected SonicOS Gen 5, Gen 6 and Gen 7 firmware versions.","{""rootcause"": """", ""weakness"": ""Stack-based buffer overflow"", ""impact"": [""Denial of Service (DoS)"", ""potentially results in code execution""], ""vector"": """", ""attacker"": ""remote authenticated attacker"", ""product"": ""SonicOS"", ""version"": ""Gen 5, Gen 6 and Gen 7 firmware versions"", ""component"": ""SessionID HTTP response header""}"
An out-of-bounds write vulnerability exists in the TIFF header count-processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": ""missing null check for a size field"", ""weakness"": [""out-of-bounds write"", ""buffer overflow""], ""impact"": ""memory corruption"", ""vector"": ""specially crafted malformed file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.8"", ""component"": ""TIFF header count-processing functionality""}"
An out-of-bounds write vulnerability exists in the SGI Format Buffer Size Processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""out-of-bounds write"", ""impact"": ""memory corruption"", ""vector"": ""specially crafted malformed file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.8"", ""component"": ""SGI Format Buffer Size Processing functionality""}"
An out-of-bounds write vulnerability exists in the SGI format buffer size processing functionality of Accusoft ImageGear 19.8. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""out-of-bounds write"", ""impact"": ""memory corruption"", ""vector"": ""specially crafted malformed file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.8"", ""component"": ""SGI format buffer size processing functionality""}"
An out-of-bounds write vulnerability exists in the JPG sof_nb_comp header processing functionality of Accusoft ImageGear 19.8 and 19.9. A specially crafted malformed file can lead to memory corruption. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""out-of-bounds write"", ""impact"": ""memory corruption"", ""vector"": ""specially crafted malformed file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.8 and 19.9"", ""component"": ""JPG sof_nb_comp header processing functionality""}"
A memory corruption vulnerability exists in the ISO Parsing functionality of Disc Soft Ltd Deamon Tools Pro 8.3.0.0767. A specially crafted malformed file can lead to an out-of-bounds write. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": [""out-of-bounds write"", ""memory corruption""], ""impact"": [""segmentation fault"", ""application crash""], ""vector"": ""specially crafted malformed file"", ""attacker"": """", ""product"": ""Disc Soft Ltd Deamon Tools Pro"", ""version"": ""8.3.0.0767"", ""component"": ""ISO Parsing functionality""}"
A stack-based buffer overflow vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially crafted HTTP request"", ""attacker"": """", ""product"": ""Lantronix PremierWave 2050"", ""version"": ""8.9.0.0R4 (in QEMU)"", ""component"": ""Web Manager SslGenerateCSR functionality""}"
A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially crafted HTTP request"", ""attacker"": ""attacker"", ""product"": ""Lantronix PremierWave 2050"", ""version"": ""8.9.0.0R4"", ""component"": ""Web Manager Ping functionality""}"
A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletedir). An attacker can make an authenticated HTTP request to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially crafted HTTP request"", ""attacker"": ""attacker"", ""product"": ""Lantronix PremierWave 2050"", ""version"": ""8.9.0.0R4"", ""component"": ""Web Manager FsBrowseClean functionality""}"
A stack-based buffer overflow vulnerability exists in the Web Manager FsBrowseClean functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution in the vulnerable portion of the branch (deletefile). An attacker can make an authenticated HTTP request to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially crafted HTTP request"", ""attacker"": ""attacker"", ""product"": ""Lantronix PremierWave 2050"", ""version"": ""8.9.0.0R4"", ""component"": ""Web Manager FsBrowseClean functionality""}"
A stack-based buffer overflow vulnerability exists in the Web Manager FsUnmount functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially crafted HTTP request"", ""attacker"": ""attacker"", ""product"": ""Lantronix PremierWave 2050"", ""version"": ""8.9.0.0R4"", ""component"": ""Web Manager FsUnmount functionality""}"
A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to memcpy. An attacker can send a malicious packet to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": """", ""vector"": ""specially-crafted packet"", ""attacker"": """", ""product"": ""Garrett Metal Detectors’ iC Module"", ""version"": ""CMA Version 5.0"", ""component"": ""CMA check_udp_crc function""}"
A stack-based buffer overflow vulnerability exists in the CMA check_udp_crc function of Garrett Metal Detectors’ iC Module CMA Version 5.0. A specially-crafted packet can lead to a stack-based buffer overflow during a call to strcpy. An attacker can send a malicious packet to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": """", ""vector"": ""specially-crafted packet"", ""attacker"": """", ""product"": ""Garrett Metal Detectors’ iC Module"", ""version"": ""CMA Version 5.0"", ""component"": ""CMA check_udp_crc function""}"
"Stack-based buffer overflow vulnerability exists in how the CMA readfile function of Garrett Metal Detectors iC Module CMA Version 5.0 is used at various locations. The Garrett iC Module exposes an authenticated CLI over TCP port 6877. This interface is used by a secondary GUI client, called “CMA Connect”, to interact with the iC Module on behalf of the user. After a client successfully authenticates, they can send plaintext commands to manipulate the device.","{""rootcause"": """", ""weakness"": ""Stack-based buffer overflow"", ""impact"": """", ""vector"": """", ""attacker"": ""attacker"", ""product"": ""Garrett Metal Detectors iC Module"", ""version"": ""CMA Version 5.0"", ""component"": ""CMA readfile function""}"
A heap-based buffer overflow vulnerability exists in the DecoderStream::Append functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""code execution"", ""vector"": ""specially-crafted file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.1"", ""component"": ""DecoderStream::Append functionality""}"
A heap-based buffer overflow vulnerability exists in the Palette box parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""code execution"", ""vector"": ""specially-crafted file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.1"", ""component"": ""Palette box parser functionality""}"
A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""code execution"", ""vector"": ""specially-crafted file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.1"", ""component"": ""XWD parser functionality""}"
A heap-based buffer overflow vulnerability exists in the XWD parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to code execution. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""code execution"", ""vector"": ""specially-crafted file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.1"", ""component"": ""XWD parser functionality""}"
Two heap-based buffer overflow vulnerabilities exists in the JPEG-JFIF lossless Huffman image parser functionality of Accusoft ImageGear 19.10. A specially-crafted file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger these vulnerabilities.This heap-based buffer overflow takes place when the `SOF3` precision is greater or equal than 9.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": """", ""vector"": ""specially-crafted file"", ""attacker"": """", ""product"": ""Accusoft ImageGear"", ""version"": ""19.1"", ""component"": ""JPEG-JFIF lossless Huffman image parser functionality""}"
A heap-based buffer overflow vulnerability exists in the readDatHeadVec functionality of AnyCubic Chitubox AnyCubic Plugin 1.0.0. A specially-crafted GF file can lead to a heap buffer overflow. An attacker can provide a malicious file to trigger this vulnerability.,"{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": """", ""vector"": ""specially-crafted GF file"", ""attacker"": """", ""product"": ""AnyCubic Chitubox AnyCubic Plugin"", ""version"": ""1.0.0"", ""component"": ""readDatHeadVec functionality""}"
An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.,"{""rootcause"": """", ""weakness"": ""out-of-bounds write"", ""impact"": ""code execution"", ""vector"": ""specially-crafted network packet"", ""attacker"": """", ""product"": ""Anker Eufy Homebase 2"", ""version"": ""2.1.6.9h"", ""component"": ""CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary""}"
An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function read_udp_push_config_file. A specially-crafted network packet can lead to code execution.,"{""rootcause"": """", ""weakness"": ""out-of-bounds write"", ""impact"": ""code execution"", ""vector"": ""specially-crafted network packet"", ""attacker"": """", ""product"": ""Anker Eufy Homebase 2"", ""version"": ""2.1.6.9h"", ""component"": ""CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary""}"
"A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially-crafted network packet"", ""attacker"": """", ""product"": ""Sealevel Systems Inc. SeaConnect 370W"", ""version"": ""v1.3.34"", ""component"": ""LLMNR functionality""}"
"A stack-based buffer overflow vulnerability exists in the NBNS functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""specially-crafted network packet"", ""attacker"": """", ""product"": ""Sealevel Systems Inc. SeaConnect 370W"", ""version"": ""v1.3.34"", ""component"": ""NBNS functionality""}"
"A heap-based buffer overflow vulnerability exists in the OTA Update u-download functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A series of specially-crafted MQTT payloads can lead to remote code execution. An attacker must perform a man-in-the-middle attack in order to trigger this vulnerability.","{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""remote code execution"", ""vector"": ""series of specially-crafted MQTT payloads"", ""attacker"": """", ""product"": ""Sealevel Systems Inc. SeaConnect 370W"", ""version"": ""v1.3.34"", ""component"": ""OTA Update u-download functionality""}"
There is a software integer overflow leading to a TOCTOU condition in smartphones. Successful exploitation of this vulnerability may cause random address access.,"{""rootcause"": """", ""weakness"": ""software integer overflow"", ""impact"": [""random address access"", ""TOCTOU condition""], ""vector"": """", ""attacker"": """", ""product"": ""smartphones"", ""version"": """", ""component"": """"}"
"WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a stack-based buffer overflow, which may allow an attacker to remotely execute code.","{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""remotely execute code"", ""vector"": """", ""attacker"": """", ""product"": ""WECON LeviStudioU"", ""version"": ""Versions 2019-09-21 and prior"", ""component"": """"}"
"WECON LeviStudioU Versions 2019-09-21 and prior are vulnerable to a heap-based buffer overflow, which may allow an attacker to remotely execute code.","{""rootcause"": """", ""weakness"": ""heap-based buffer overflow"", ""impact"": ""remotely execute code"", ""vector"": """", ""attacker"": """", ""product"": ""WECON LeviStudioU"", ""version"": ""Versions 2019-09-21 and prior"", ""component"": """"}"
"A flaw was found in htmldoc in v1.9.12. Double-free in function pspdf_export(),in ps-pdf.cxx may result in a write-what-where condition, allowing an attacker to execute arbitrary code and denial of service.","{""rootcause"": ""Double-free"", ""weakness"": """", ""impact"": [""write-what-where condition"", ""denial of service""], ""vector"": """", ""attacker"": """", ""product"": ""htmldoc"", ""version"": ""v1.9.12"", ""component"": ""ps-pdf.cxx""}"
"A flaw was found in htmldoc before v1.9.12. Heap buffer overflow in pspdf_prepare_outpages(), in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","{""rootcause"": """", ""weakness"": ""Heap buffer overflow"", ""impact"": [""execute arbitrary code"", ""denial of service""], ""vector"": """", ""attacker"": """", ""product"": ""htmldoc"", ""version"": ""before v1.9.12"", ""component"": ""ps-pdf.cxx""}"
A heap-buffer overflow was found in the copyIntoFrameBuffer function of OpenEXR in versions before 3.0.1. An attacker could use this flaw to execute arbitrary code with the permissions of the user running the application compiled against OpenEXR.,"{""rootcause"": """", ""weakness"": ""heap-buffer overflow"", ""impact"": ""execute arbitrary code"", ""vector"": """", ""attacker"": """", ""product"": ""OpenEXR"", ""version"": ""before 3.0.1"", ""component"": ""copyIntoFrameBuffer function""}"
A flaw was found in htmldoc in v1.9.12 and prior. A stack buffer overflow in parse_table() in ps-pdf.cxx may lead to execute arbitrary code and denial of service.,"{""rootcause"": """", ""weakness"": ""stack buffer overflow"", ""impact"": [""execute arbitrary code"", ""denial of service""], ""vector"": """", ""attacker"": """", ""product"": ""htmldoc"", ""version"": ""v1.9.12 and prior"", ""component"": ""ps-pdf.cxx""}"
A buffer underwrite vulnerability in the firmware verification routine of FortiOS before 7.0.1 may allow an attacker located in the adjacent network to potentially execute arbitrary code via a specifically crafted firmware image.,"{""rootcause"": """", ""weakness"": ""buffer underwrite"", ""impact"": ""execute arbitrary code"", ""vector"": ""specifically crafted firmware image"", ""attacker"": ""attacker located in the adjacent network"", ""product"": ""FortiOS"", ""version"": ""before 7.0.1"", ""component"": ""firmware verification routine""}"
Multiple stack-based buffer overflow vulnerabilities [CWE-121] both in network daemons and in the command line interpreter of FortiWAN before 4.5.9 may allow an unauthenticated attacker to potentially corrupt control data in memory and execute arbitrary code via specifically crafted requests.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": [""potentially corrupt control data in memory"", ""execute arbitrary code""], ""vector"": ""specifically crafted requests"", ""attacker"": ""unauthenticated attacker"", ""product"": ""FortiWAN"", ""version"": ""before 4.5.9"", ""component"": ""network daemons and command line interpreter""}"
"A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in pspdf_prepare_page(),in ps-pdf.cxx may lead to execute arbitrary code and denial of service.","{""rootcause"": """", ""weakness"": ""Heap buffer overflow"", ""impact"": """", ""vector"": """", ""attacker"": """", ""product"": ""htmldoc"", ""version"": ""v1.9.12"", ""component"": ""pspdf_prepare_page() in ps-pdf.cxx""}"
"A flaw was found in htmldoc in v1.9.12. Heap buffer overflow in render_table_row(),in ps-pdf.cxx may lead to arbitrary code execution and denial of service.","{""rootcause"": """", ""weakness"": ""Heap buffer overflow"", ""impact"": [""potentially corrupt control data in memory"", ""execute arbitrary code""], ""vector"": """", ""attacker"": """", ""product"": ""htmldoc"", ""version"": ""v1.9.12"", ""component"": ""render_table_row() in ps-pdf.cxx""}"
Failure to validate the integer operand in ASP (AMD Secure Processor) bootloader may allow an attacker to introduce an integer overflow in the L2 directory table in SPI flash resulting in a potential denial of service.,"{""rootcause"": ""Failure to validate the integer operand"", ""weakness"": ""integer overflow"", ""impact"": ""potential denial of service"", ""vector"": """", ""attacker"": """", ""product"": ""ASP (AMD Secure Processor)"", ""version"": """", ""component"": ""bootloader""}"
"A malformed SMI (System Management Interface) command may allow an attacker to establish a corrupted SMI Trigger Info data structure, potentially leading to out-of-bounds memory reads and writes when triggering an SMI resulting in a potential loss of resources.","{""rootcause"": """", ""weakness"": ""out-of-bounds memory reads and writes"", ""impact"": ""potential loss of resources"", ""vector"": ""malformed SMI command"", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""SMI (System Management Interface)""}"
A malicious or compromised UApp or ABL may be used by an attacker to issue a malformed system call to the Stage 2 Bootloader potentially leading to corrupt memory and code execution.,"{""rootcause"": """", ""weakness"": ""corrupt memory"", ""impact"": ""code execution"", ""vector"": ""malformed system call"", ""attacker"": """", ""product"": """", ""version"": """", ""component"": ""Stage 2 Bootloader""}"
Stack-based buffer overflow vulnerability in frontend/main.c in faad2 before 2.2.7.1 allow local attackers to execute arbitrary code via filename and pathname options.,"{""rootcause"": """", ""weakness"": ""Stack-based buffer overflow"", ""impact"": ""execute arbitrary code"", ""vector"": ""filename and pathname options"", ""attacker"": ""local attackers"", ""product"": ""faad2"", ""version"": ""before 2.2.7.1"", ""component"": ""frontend/main.c""}"
"In the code that verifies the file size in the ark library, it is possible to manipulate the offset read from the target file due to the wrong use of the data type. An attacker could use this vulnerability to cause a stack buffer overflow and as a result, perform an attack such as remote code execution.","{""rootcause"": ""wrong use of the data type"", ""weakness"": ""stack buffer overflow"", ""impact"": ""remote code execution"", ""vector"": """", ""attacker"": """", ""product"": ""ark library"", ""version"": """", ""component"": """"}"
Multiple command injections and stack-based buffer overflows vulnerabilities in the SubNet_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,"{""rootcause"": """", ""weakness"": [""command injections"", ""stack-based buffer overflows""], ""impact"": ""execute arbitrary code with the same privileges as the server user (root)"", ""vector"": """", ""attacker"": """", ""product"": ""Lanner Inc IAC-AST2500A"", ""version"": ""standard firmware version 1.10.0"", ""component"": ""SubNet_handler_func function of spx_restservice""}"
Command injection and stack-based buffer overflow vulnerabilities in the KillDupUsr_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,"{""rootcause"": """", ""weakness"": [""command injection"", ""stack-based buffer overflows""], ""impact"": ""execute arbitrary code with the same privileges as the server user (root)"", ""vector"": """", ""attacker"": """", ""product"": ""Lanner Inc IAC-AST2500A"", ""version"": ""standard firmware version 1.10.0"", ""component"": ""KillDupUsr_func function of spx_restservice""}"
Command injection and multiple stack-based buffer overflows vulnerabilities in the Login_handler_func function of spx_restservice allow an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,"{""rootcause"": """", ""weakness"": [""command injection"", ""stack-based buffer overflows""], ""impact"": ""execute arbitrary code with the same privileges as the server user (root)"", ""vector"": """", ""attacker"": """", ""product"": ""Lanner Inc IAC-AST2500A"", ""version"": ""standard firmware version 1.10.0"", ""component"": ""Login_handler_func function of spx_restservice""}"
A stack-based buffer overflow vulnerability in a subfunction of the Login_handler_func function of spx_restservice allows an attacker to execute arbitrary code with the same privileges as the server user (root). This issue affects: Lanner Inc IAC-AST2500A standard firmware version 1.10.0.,"{""rootcause"": """", ""weakness"": ""stack-based buffer overflow"", ""impact"": ""execute arbitrary code with the same privileges as the server user (root)"", ""vector"": """", ""attacker"": """", ""product"": ""Lanner Inc IAC-AST2500A"", ""version"": ""standard firmware version 1.10.0"", ""component"": ""subfunction of the Login_handler_func function of spx_restservice""}"
